	latitude	longitude	elevation
X9.OR1.*.HHZ	55.96538	159.8044	48.87000
X9.OR1.*.HHN	55.96538	159.8044	48.87000
X9.OR1.*.HHE	55.96538	159.8044	48.87000
X9.OR2.*.SHZ	56.14610	159.9799	69.34000
X9.OR2.*.SHN	56.14610	159.9799	69.34000
X9.OR2.*.SHE	56.14610	159.9799	69.34000
X9.OR3.*.HHZ	56.22097	160.0801	77.90400
X9.OR3.*.HHN	56.22097	160.0801	77.90400
X9.OR3.*.HHE	56.22097	160.0801	77.90400
X9.OR4.*.HHZ	55.95408	159.2156	311.8370
X9.OR4.*.HHN	55.95408	159.2156	311.8370
X9.OR4.*.HHE	55.95408	159.2156	311.8370
X9.OR5.*.SHZ	56.03047	159.0531	281.4850
X9.OR5.*.SHN	56.03047	159.0531	281.4850
X9.OR5.*.SHE	56.03047	159.0531	281.4850
X9.OR6.*.HHZ	56.02554	158.8437	396.5740
X9.OR6.*.HHN	56.02554	158.8437	396.5740
X9.OR6.*.HHE	56.02554	158.8437	396.5740
X9.OR7.*.SHZ	55.78424	159.3988	94.19900
X9.OR7.*.SHN	55.78424	159.3988	94.19900
X9.OR7.*.SHE	55.78424	159.3988	94.19900
X9.OR8.*.SHZ	55.67340	159.4504	60.06200
X9.OR8.*.SHN	55.67340	159.4504	60.06200
X9.OR8.*.SHE	55.67340	159.4504	60.06200
X9.OR9.*.HHZ	55.60096	159.6208	61.60900
X9.OR9.*.HHN	55.60096	159.6208	61.60900
X9.OR9.*.HHE	55.60096	159.6208	61.60900
X9.OR10.*.HHZ	56.05063	161.2135	44.17100
X9.OR10.*.HHN	56.05063	161.2135	44.17100
X9.OR10.*.HHE	56.05063	161.2135	44.17100
X9.OR11.*.SHZ	55.95266	161.2090	64.45800
X9.OR11.*.SHN	55.95266	161.2090	64.45800
X9.OR11.*.SHE	55.95266	161.2090	64.45800
X9.OR12.*.HHZ	55.87659	161.1298	111.5500
X9.OR12.*.HHN	55.87659	161.1298	111.5500
X9.OR12.*.HHE	55.87659	161.1298	111.5500
X9.OR13.*.SHZ	55.78698	161.1008	1121.749
X9.OR13.*.SHN	55.78698	161.1008	1121.749
X9.OR13.*.SHE	55.78698	161.1008	1121.749
X9.OR14.*.HHZ	55.71738	161.0275	754.1990
X9.OR14.*.HHN	55.71738	161.0275	754.1990
X9.OR14.*.HHE	55.71738	161.0275	754.1990
X9.OR15.*.SHZ	55.65928	160.9273	657.4840
X9.OR15.*.SHN	55.65928	160.9273	657.4840
X9.OR15.*.SHE	55.65928	160.9273	657.4840
X9.OR16.*.HHZ	55.59436	160.8192	997.1690
X9.OR16.*.HHN	55.59436	160.8192	997.1690
X9.OR16.*.HHE	55.59436	160.8192	997.1690
X9.OR17.*.SHZ	55.54394	160.6951	885.8830
X9.OR17.*.SHN	55.54394	160.6951	885.8830
X9.OR17.*.SHE	55.54394	160.6951	885.8830
X9.OR18.*.HHZ	55.48529	160.5833	936.1140
X9.OR18.*.HHN	55.48529	160.5833	936.1140
X9.OR18.*.HHE	55.48529	160.5833	936.1140
X9.OR19.*.SHZ	55.45646	160.4475	771.1120
X9.OR19.*.SHN	55.45646	160.4475	771.1120
X9.OR19.*.SHE	55.45646	160.4475	771.1120
X9.OR20.*.HHZ	55.44971	160.2577	155.8280
X9.OR20.*.HHN	55.44971	160.2577	155.8280
X9.OR20.*.HHE	55.44971	160.2577	155.8280
X9.OR21.*.SHZ	55.43907	160.0395	102.4650
X9.OR21.*.SHN	55.43907	160.0395	102.4650
X9.OR21.*.SHE	55.43907	160.0395	102.4650
X9.OR22.*.HHZ	55.46861	159.8576	102.3810
X9.OR22.*.HHN	55.46861	159.8576	102.3810
X9.OR22.*.HHE	55.46861	159.8576	102.3810
X9.OR23.*.SHZ	55.56626	159.7808	61.06300
X9.OR23.*.SHN	55.56626	159.7808	61.06300
X9.OR23.*.SHE	55.56626	159.7808	61.06300
X9.OR24.*.SHZ	55.67693	159.7874	62.37400
X9.OR24.*.SHN	55.67693	159.7874	62.37400
X9.OR24.*.SHE	55.67693	159.7874	62.37400
X9.OR25.*.HHZ	55.76740	159.7291	47.88400
X9.OR25.*.HHN	55.76740	159.7291	47.88400
X9.OR25.*.HHE	55.76740	159.7291	47.88400
X9.OR27.*.HHZ	56.26281	160.2162	143.6940
X9.OR27.*.HHN	56.26281	160.2162	143.6940
X9.OR27.*.HHE	56.26281	160.2162	143.6940
X9.OR28.*.HHZ	56.32264	160.3639	90.43800
X9.OR28.*.HHN	56.32264	160.3639	90.43800
X9.OR28.*.HHE	56.32264	160.3639	90.43800
X9.OR29.*.HHZ	56.34616	160.6061	29.00000
X9.OR29.*.HHN	56.34616	160.6061	29.00000
X9.OR29.*.HHE	56.34616	160.6061	29.00000
X9.OR30.*.HHZ	56.28103	160.9763	41.00000
X9.OR30.*.HHN	56.28103	160.9763	41.00000
X9.OR30.*.HHE	56.28103	160.9763	41.00000
X9.OR31.*.HHZ	56.21550	161.0755	35.00000
X9.OR31.*.HHN	56.21550	161.0755	35.00000
X9.OR31.*.HHE	56.21550	161.0755	35.00000
X9.OR32.*.HHZ	56.12659	161.1277	58.00000
X9.OR32.*.HHN	56.12659	161.1277	58.00000
X9.OR32.*.HHE	56.12659	161.1277	58.00000
X9.IR1.*.HHZ	55.71783	160.3050	1160.811
X9.IR1.*.HHN	55.71783	160.3050	1160.811
X9.IR1.*.HHE	55.71783	160.3050	1160.811
X9.IR2.*.SHZ	55.78518	160.2323	1065.846
X9.IR2.*.SHN	55.78518	160.2323	1065.846
X9.IR2.*.SHE	55.78518	160.2323	1065.846
X9.IR3.*.HHZ	55.85794	160.2253	1108.375
X9.IR3.*.HHN	55.85794	160.2253	1108.375
X9.IR3.*.HHE	55.85794	160.2253	1108.375
X9.IR4.*.SHZ	55.95746	160.2364	986.3800
X9.IR4.*.SHN	55.95746	160.2364	986.3800
X9.IR4.*.SHE	55.95746	160.2364	986.3800
X9.IR6.*.SHZ	56.11173	160.2691	1317.601
X9.IR6.*.SHN	56.11173	160.2691	1317.601
X9.IR6.*.SHE	56.11173	160.2691	1317.601
X9.IR7.*.HHZ	55.34756	160.5838	1469.300
X9.IR7.*.HHN	55.34756	160.5838	1469.300
X9.IR7.*.HHE	55.34756	160.5838	1469.300
X9.IR8.*.SHZ	55.23110	160.0802	505.1380
X9.IR8.*.SHN	55.23110	160.0802	505.1380
X9.IR8.*.SHE	55.23110	160.0802	505.1380
X9.IR9.*.HHZ	55.31187	159.8641	1089.766
X9.IR9.*.HHN	55.31187	159.8641	1089.766
X9.IR9.*.HHE	55.31187	159.8641	1089.766
X9.IR10.*.HHZ	55.11955	159.9534	267.2440
X9.IR10.*.HHN	55.11955	159.9534	267.2440
X9.IR10.*.HHE	55.11955	159.9534	267.2440
X9.IR11.*.SHZ	56.01252	160.8918	581.3340
X9.IR11.*.SHN	56.01252	160.8918	581.3340
X9.IR11.*.SHE	56.01252	160.8918	581.3340
X9.IR12.*.HHZ	55.92607	160.8755	539.6970
X9.IR12.*.HHN	55.92607	160.8755	539.6970
X9.IR12.*.HHE	55.92607	160.8755	539.6970
X9.IR13.*.SHZ	55.84251	160.8610	540.8200
X9.IR13.*.SHN	55.84251	160.8610	540.8200
X9.IR13.*.SHE	55.84251	160.8610	540.8200
X9.IR14.*.HHZ	55.76649	160.7767	1019.940
X9.IR14.*.HHN	55.76649	160.7767	1019.940
X9.IR14.*.HHE	55.76649	160.7767	1019.940
X9.IR15.*.SHZ	55.68777	160.6998	762.4310
X9.IR15.*.SHN	55.68777	160.6998	762.4310
X9.IR15.*.SHE	55.68777	160.6998	762.4310
X9.IR16.*.HHZ	55.65167	160.5026	433.4300
X9.IR16.*.HHN	55.65167	160.5026	433.4300
X9.IR16.*.HHE	55.65167	160.5026	433.4300
X9.IR17.*.HHZ	56.17823	160.4075	1318.156
X9.IR17.*.HHN	56.17823	160.4075	1318.156
X9.IR17.*.HHE	56.17823	160.4075	1318.156
X9.IR18.*.HHZ	56.20044	160.5937	1349.495
X9.IR18.*.HHN	56.20044	160.5937	1349.495
X9.IR18.*.HHE	56.20044	160.5937	1349.495
X9.IR19.*.HHZ	56.17390	160.7529	1067.770
X9.IR19.*.HHN	56.17390	160.7529	1067.770
X9.IR19.*.HHE	56.17390	160.7529	1067.770
X9.IR20.*.HHZ	56.10005	160.8278	938.9830
X9.IR20.*.HHN	56.10005	160.8278	938.9830
X9.IR20.*.HHE	56.10005	160.8278	938.9830
X9.SV1.*.SHZ	55.63996	160.2447	694.6430
X9.SV1.*.SHN	55.63996	160.2447	694.6430
X9.SV1.*.SHE	55.63996	160.2447	694.6430
X9.SV2.*.HHZ	55.75449	160.0419	207.3160
X9.SV2.*.HHN	55.75449	160.0419	207.3160
X9.SV2.*.HHE	55.75449	160.0419	207.3160
